Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=22 s"
Bourne Shell, 0, 1, 0, 0, 0, 0, 0, 1, 22, 0, 0, 15, 128, 1, 0, 0, 
HTML, 3, 0, 0, 0, 129, 0, 0, 0, 8, 0, 0, 0, 304, 0, 0, 0, 
YAML, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 
CSS, 14, 0, 0, 0, 291, 0, 0, 0, 84, 0, 0, 0, 2037, 0, 0, 0, 
DOS Batch, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 58, 1, 0, 15, 
LESS, 71, 0, 0, 0, 1229, 0, 0, 0, 1558, 0, 0, 0, 5911, 0, 0, 0, 
Markdown, 3, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 
XML, 377, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4698, 0, 0, 0, 
Groovy, 4, 0, 0, 0, 53, 0, 0, 0, 3, 0, 0, 0, 229, 0, 0, 0, 
Velocity Template Language, 57, 0, 0, 0, 162, 0, 0, 0, 31, 0, 0, 0, 1723, 0, 0, 0, 
JavaScript, 33, 0, 0, 0, 3951, 0, 0, 0, 3712, 0, 0, 0, 25635, 0, 0, 0, 
Gradle, 2, 1, 0, 0, 2, 0, 0, 0, 12, 0, 0, 0, 308, 1, 0, 0, 
Java, 1112, 5, 0, 0, 16136, 0, 0, 13, 2817, 0, 0, 0, 77947, 47, 13, 65, 
