Word,Count
*,35225
the,18795
to,6248
,5120
is,3783
a,3644
@param,3600
of,3406
in,3183
this,3057
License,2680
if,2518
or,2392
for,2250
map,2163
under,2145
not,1958
{@link,1918
null,1815
be,1797
an,1768
and,1655
with,1611
@return,1607
file,1607
distributed,1606
that,1585
The,1514
may,1479
<p>,1393
@throws,1282
key,1256
by,1145
type,1143
object,1133
use,1095
You,1091
iterator,1088
See,1087
Apache,1073
value,1056
collection,976
-----------------------------------------------------------------------,936
on,916
at,818
from,797
elements,788
predicate,780
one,771
are,764
you,763
list,714
method,714
@since,713
set,687
either,672
element,670
NullPointerException,668
more,661
new,656
This,628
must,623
will,622
copy,589
specified,575
additional,570
specific,566
required,557
work,554
2.0,548
(the,543
information,543
except,542
obtain,539
Version,539
Unless,537
OR,537
compliance,537
as,537
applicable,536
implied,536
\IS"\\,536
OF,536
WARRANTIES,536
WITHOUT,536
\BASIS,\,536
language,536
CONDITIONS,536
permissions,536
Software,536
\KIND,\,536
http://www.apache.org/licenses/LICENSE-2.0,536
limitations,536
\License,\,536
ANY,536
Licensed,536
\"\AS\,536
Foundation,536
law,536
\"\License"\);\,536
\writing,\,536
express,536
software,536
governing,536
agreed,536
NOTICE,534
ASF,534
license,534
contributor,534
agreements,534
copyright,534
regarding,534
licenses,534
ownership,534
(ASF),534
true,485
If,477
input,476
array,469
it,457
implementation,441
Returns,441
class,439
given,438
Gets,433
index,423
values,414
transformer,403
{@code,397
returned,396
no,390
all,388
empty,381
return,370
bag,355
=,338
entry,330
<E>,329
returns,322
expected,320
first,318
can,316
test,299
using,296
keys,294
any,286
used,286
node,279
{,276
stream,268
contains,268
},267
size,264
which,260
should,258
added,252
Constructor,247
objects,245
decorated,242
iterable,237
3.0,227
over,226
being,225
view,223
instance,220
closure,218
has,217
Tests,216
add,215
@see,215
remove,211
A,210
Map,208
version,206
<K>,204
methods,203
IllegalArgumentException,202
there,200
-,200
predicates,199
order,198
\decorate,\,195
4.0,189
3.1,181
multiset,181
next,178
create,178
public,177
\map,\,176
number,175
two,174
<V>,168
removed,168
when,168
already,167
call,165
queue,165
second,161
result,160
each,157
Factory,156
does,156
only,156
into,155
transformed,152
Constructs,151
while,148
unmodifiable,148
code,148
another,148
comparator,147
called,146
factory,146
other,145
than,144
been,143
tests,143
false,141
they,140
{@inheritDoc},140
mapping,137
same,137
underlying,136
output,135
then,135
interface,134
<code>null</code>,134
iterators,131
we,131
void,131
writeExternalFormToDisk((java.io.Serializable),130
backed,129
last,129
<T>,129
throws,128
its,127
entries,127
provided,126
Creates,126
constructor,125
invalid,124
hash,124
contained,122
UnsupportedOperationException,121
previous,120
equal,120
after,119
start,118
have,118
get,118
default,114
out,112
Serialization,110
always,109
occurs,108
so,108
Iterator,108
case,108
change,108
synchronized,108
b,108
wraps,107
check,107
Exception,106
through,105
override,105
cannot,105
up,103
was,103
\use,\,103
initial,103
Decorates,102
compare,102
<code>true</code>,102
current,101
sorted,101
sequence,101
iteration,100
parent,100
IOException,100
Test,98
error,98
throw,98
time,98
It,97
testCreate(),96
but,96
uses,95
changed,95
transform,94
4.1,93
before,92
calls,92
(not,91
collections,91
whose,90
capacity,90
custom,89
Create,89
copies),89
data,87
support,87
Collection,84
results,84
whether,84
containing,83
ensure,83
make,82
routine,82
would,82
Removes,81
validation,80
coll,80
associated,80
match,80
want,79
do,79
end,78
also,78
supports,78
<pre>,78
single,78
testing,77
composite,77
otherwise,76
implementations,76
iterate,76
passed,75
mappings,74
such,74
Predicate,74
fails,73
</pre>,73
full,72
valid,72
without,71
Set,71
mapped,71
exception,71
zero,70
provide,70
ClassCastException,70
position,70
operations,70
see,69
modification,68
cardinality,68
Override,68
reference,68
maximum,68
types,68
changes,68
An,67
resetFull();,67
performs,67
Collections,67
Bag,67
store,67
ordered,66
resetEmpty();,66
provides,66
Checks,66
where,66
operation,66
until,66
your,65
\collection,\,65
form,65
modified,65
multiple,64
created,64
For,64
original,64
\getCollection(),\,64
Collection},64
decorate,64
against,63
both,62
via,62
\key,\,62
\decorated,\,62
look,62
Transformer,62
null},62
count,62
read,61
obj,61
\null,\,61
maps,61
------------------------------------------------------------------,60
c,60
<ul>,60
In,60
contain,60
stored,60
</ul>,60
Subclasses,59
subclass,58
predicated,58
name,58
0,58
synchronization,58
List,58
adding,57
exercising,57
negative,57
<O>,57
Extension,57
item,57
transformers,57
simple,57
Commons,57
means,57
implement,56
behaviour,56
conversion,56
following,56
Comparator,56
queries,55
closures,55
string,55
returning,54
once,54
threads,54
calling,53
less,53
i,53
IndexOutOfBoundsException,53
safe,53
singleton,52
different,52
because,52
matches,52
sets,52
views,52
still,52
Iterable},52
search,52
works,51
found,51
argument,51
load,51
When,51
child,51
\method,\,51
writeExternalFormToDisk(,50
instances,50
factor,50
root,50
(java.io.Serializable),50
sure,50
thrown,49
back,49
ClassNotFoundException,49
Object,49
state,49
comparison,49
made,49
Serializable,49
MultiSet,49
right,49
equals,49
occurrences,49
wrapped,48
confirmed,48
</p>,48
\iterable,\,48
cursor,48
//,47
instead,47
true},47
don't,47
key-value,47
creates,47
matching,46
based,46
Adds,46
Sets,46
field,46
it's,46
compared,46
access,46
Iterator},45
iterating,45
IllegalStateException,45
Serial,45
wrap,45
\check,\,45
these,45
here,44
allows,44
loaded,44
nulls,44
\values,\,44
<code>Map</code>,44
\predicate,\,44
Get,44
<a>,43
1,43
some,43
writing,43
immutable,42
clone,42
key1,42
\conversion,\,42
perform,42
reading,42
Use,42
contents,42
UID,42
parameter,42
left,42
next(),41
decorators,41
exists,41
existing,41
JUnit,41
enumeration,41
ordering,41
Read,41
supported,41
directly,41
even,41
Write,41
put,40
per,40
canonical,40
sort,40
necessary,39
cache,39
validate,39
copies,39
iff,39
exceptions,39
behavior,39
appropriate,39
\list,\,39
tested,38
least,38
currently,38
+,37
Provides,37
3.2,37
handle,37
never,37
pair,37
Trie},37
concurrent,37
their,37
\from,\,37
modify,37
between,37
fail,36
Abstract,36
what,36
package,36
skip,36
All,36
key2,35
loop,35
find,35
length,35
corresponding,35
As,35
reverse,35
Closure,35
\keys,\,35
NOT,35
need,35
\set,\,35
equivalent,35
just,34
NoSuchElementException,34
constant,34
<I>,34
\elements,\,34
\bag,\,34
sequences,34
Inner,34
bulk,34
garbage,34
unique,34
expiration,34
transformation,34
defined,34
entrySet,33
normally,33
representation,33
Default,33
cast,33
Integer,33
itself,33
natural,33
tree,33
subclasses,33
wish,33
items,33
invoked,33
doesn't,33
Map.Entry,33
decorator,32
f,32
upcast,32
After,32
serialization,32
map's,32
Each,32
possible,32
contract,32
most,31
simply,31
dataElement,31
can't,31
\object,\,31
\"\);\,31
like,31
important,31
<code>next()</code>,31
accessed,31
null-safe,31
invoking,31
hashCode,31
Map},31
defaultValue,31
since,31
way,31
OK,30
third,30
static,30
\new,\,30
\example,\,30
altered,30
greater,30
\"\\,30
<b>,30
implements,30
==,30
\empty,\,30
arguments,30
yet,30
Compares,30
could,30
<li>{@link,29
e,29
Transforms,29
BidiMap,29
serialized,29
present,29
acts,29
removing,29
To,29
base,29
iterables,29
String,29
arrays,29
known,29
nothing,29
\value,\,29
FluentIterable,28
DataElement#KEY},28
<strong>Note,28
Whether,28
key},28
DataElement#VALUE,28
references,28
value},28
inverse,28
correct,28
transforming,28
useful,27
infinite,27
Transformer)},27
----------------------------------------------------------------------,27
ensures,27
prevent,27
Iterators,27
3,27
thread-safe.</strong>,27
ArrayList,27
allow,27
manner,27
bits,27
validated,27
\called,\,27
reset,27
--,27
chain,27
Defines,27
above,27
NOTE:,26
creating,26
held,26
insert,26
supplied,26
forwarded,26
removes,26
#makeObject()},26
<code>List</code>,26
subtree,26
ignore,26
\concurrently,\,26
sublist,26
needed,26
range,26
checking,26
Methods,26
odd,26
Entry,25
obtained,25
\<code>null</code>,\,25
\removed,\,25
verify,25
effect,25
decorates,25
lists,25
thus,25
determine,25
lock,25
Success,25
unless,25
Add,25
recursion,25
expire,25
classes,25
clear,25
according,25
none,25
functionality,24
simplest,24
MapIterator,24
(optional),24
NOPMD,24
Changes,24
nodes,24
storage,24
avoid,24
inserted,24
List},24
pass,24
algorithm,24
well,24
approach,24
<C>,24
Construct,24
ComparatorChain,24
lazy,24
(1),24
actually,23
key3,23
<code>collection</code>,23
incorrect,23
every,23
UnsupportedOperationException},23
times,23
Evaluates,23
0;,23
Attempts,23
them,23
those,23
Singleton,23
iterable's,23
reflected,23
equality,23
ListIterator,23
bit,23
main,23
due,22
internal,22
Contrast,22
(validating),22
extra,22
contracts,22
part,22
allowed,22
normal,22
\true,\,22
convert,22
MultiValuedMap,22
unsupported,22
<code>false</code>,22
remove()},22
<a,22
keyTransformer,22
retrieve,22
bounds,22
equator,22
-------------------------------------------------------------------------,22
superclass,22
int,22
compatibility,22
prefix,22
compatible,22
might,22
available,22
subsequent,22
navigable,22
MultiValuedMap},22
previously,22
\cloned,\,22
duplicate,21
bug,21
SVN,21
offset,21
very,21
<i>e</i>,21
cloned,21
AbstractSetTest},21
exhausted,21
hold,21
remove(),21
2,21
lookup,21
fields,21
total,21
TreeMap,21
#verify()},21
generic,21
fast,21
common,21
backdoor,21
<code>remove</code>,21
around,20
visitor,20
Implementations,20
Leaf,20
details,20
within,20
Set},20
multi-valued,20
protected,20
<code>coll</code>,20
bounded,20
instantiated,20
@deprecated,20
Only,20
multi-key,20
produced,20
That,20
special,20
turn,20
exist,20
\4.1,\,19
stack,19
(e.g,19
old,19
linked,19
instanceof,19
\unmodifiable,\,19
iterates,19
non-<code>null</code>,19
recently,19
runs,19
performance,19
typically,19
standard,19
deserialization,19
boolean,19
hard,19
script,19
\operations,\,19
-1,19
runtime,19
AbstractCollectionTest},19
direction,19
These,19
copying,19
evaluate,19
package:,19
inputCollection,19
args,19
forward,19
composited,19
Comparator},19
paramTypes,19
cases,19
correctly,19
manually,18
\is,\,18
converted,18
