File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\ArrayStack.java,165,55,39,12,13,2,97,630,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\ArrayUtils.java,134,32,21,13,8,0,94,562,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\Bag.java,228,24,16,0,16,0,188,1230,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\BagUtils.java,262,57,38,11,17,4,188,1204,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\BidiMap.java,146,11,8,0,8,0,127,956,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\BoundedCollection.java,51,6,5,0,6,0,39,246,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\BoundedMap.java,47,5,4,0,5,0,37,251,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\Closure.java,44,4,3,0,4,0,36,250,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\ClosureUtils.java,376,86,58,18,22,0,268,1679,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\CollectionUtils.java,1917,713,478,197,117,2,1087,7709,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\ComparatorUtils.java,239,78,50,17,18,1,143,907,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\EnumerationUtils.java,96,31,24,6,8,0,57,365,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\Equator.java,43,5,4,0,3,0,35,293,10,121
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\Factory.java,44,4,3,0,4,0,36,235,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\FactoryUtils.java,151,27,19,6,11,0,113,659,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\FluentIterable.java,504,124,83,33,44,0,336,1900,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\FunctorException.java,72,16,11,0,8,0,48,256,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\Get.java,96,14,13,0,13,0,69,392,16,127
