Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,536,121018,62869,45373,7722,13892,644,44257,259529,8927,70403
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3,536,121018,62869,45373,7722,13892,644,44257,259529,8927,70403
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src,536,121018,62869,45373,7722,13892,644,44257,259529,8927,70403
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main,323,69408,28684,18869,5572,6882,217,33842,204856,5526,43387
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java,323,69408,28684,18869,5572,6882,217,33842,204856,5526,43387
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org,323,69408,28684,18869,5572,6882,217,33842,204856,5526,43387
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache,323,69408,28684,18869,5572,6882,217,33842,204856,5526,43387
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons,323,69408,28684,18869,5572,6882,217,33842,204856,5526,43387
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4,323,69408,28684,18869,5572,6882,217,33842,204856,5526,43387
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\bag,16,2580,1106,725,195,272,13,1202,7210,277,2176
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\bidimap,12,4470,2393,1580,438,539,15,1538,8588,215,1670
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\collection,9,2064,850,529,158,203,10,1011,6223,162,1251
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\comparators,8,1445,454,304,87,124,1,867,4933,138,1063
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\functors,54,5585,1897,1290,351,620,20,3068,17212,889,6953
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\iterators,46,6488,2454,1627,392,682,8,3352,19118,738,5853
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\keyvalue,9,1018,328,208,59,104,1,586,3312,156,1219
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\list,14,4851,2368,1598,398,484,17,1999,11759,246,1956
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\map,37,13940,6647,4321,1295,1238,56,6055,36082,628,5003
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\multimap,9,2219,1245,777,233,292,2,682,4154,161,1231
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\multiset,8,1774,928,595,162,207,6,639,3444,146,1125
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\properties,2,79,22,18,2,8,0,49,335,41,297
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\queue,7,1125,492,312,81,137,4,496,2959,128,983
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\sequence,10,1116,268,192,37,93,2,755,4835,219,1776
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\set,17,2788,1194,732,213,316,12,1278,7705,295,2303
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\splitmap,3,400,151,94,28,41,2,208,1333,69,508
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\trie,8,3299,1880,1276,477,498,21,921,5906,151,1117
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\main\java\org\apache\commons\collections4\trie\analyzer,2,158,79,54,19,29,0,50,350,36,265
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test,213,51610,34185,26504,2150,7010,427,10415,54673,3401,27016
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java,213,51610,34185,26504,2150,7010,427,10415,54673,3401,27016
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org,213,51610,34185,26504,2150,7010,427,10415,54673,3401,27016
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache,213,51610,34185,26504,2150,7010,427,10415,54673,3401,27016
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons,213,51610,34185,26504,2150,7010,427,10415,54673,3401,27016
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4,213,51610,34185,26504,2150,7010,427,10415,54673,3401,27016
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\bag,13,2043,1201,892,120,285,8,557,2940,208,1651
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\bidimap,12,2371,1597,1235,134,347,9,427,2209,192,1524
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\collection,9,2635,1612,1177,152,326,3,697,3817,144,1143
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\comparators,8,1245,711,512,62,192,2,342,1696,128,1016
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\functors,10,845,423,288,17,109,0,313,1931,160,1270
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\iterators,39,6994,4495,3529,286,1072,223,1427,8901,617,4918
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\junit,3,195,98,73,14,28,0,69,483,48,381
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\keyvalue,6,945,530,432,16,157,6,258,1469,96,762
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\list,12,5036,3660,3024,165,632,37,744,3397,192,1524
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\map,33,10202,6775,5120,541,1245,35,2182,10773,528,4191
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\multimap,5,1862,1319,973,109,239,1,304,1582,80,635
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\multiset,5,1068,712,550,60,143,8,213,1158,80,635
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\properties,1,39,17,12,2,6,0,16,127,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\queue,6,1254,739,560,63,197,26,318,1534,96,762
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\sequence,1,237,190,113,15,31,0,16,127,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\set,18,2863,1717,1224,171,405,22,741,3903,288,2286
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\splitmap,1,180,114,86,7,24,0,42,201,16,127
C:\Users\SHUBHAM\Desktop\Projects\commons-collections4-4.3\src\test\java\org\apache\commons\collections4\trie,3,629,453,392,22,82,3,94,488,48,381
