Word,Count
the,1409
*,942
of,655
Inc,535
by,535
version,506
under,497
Copyright,492
Public,492
Released,491
License,490
terms,490
Object,478
\Mentor,\,476
All,433
reserved,429
(C),429
rights,429
CPL,410
1.0,410
Common,410
2003-2009,408
to,280
,280
for,195
a,184
or,161
is,139
in,108
be,105
with,105
this,93
@param,87
2,85
GNU,80
later,80
General,80
page,72
test,70
and,68
FitNesse,64
@return,62
(c),61
&,60
2002,59
\Cunningham,\,59
Cunningham,59
class,57
on,57
not,55
that,51
inclusion,50
written,50
Modified,49
This,49
from,47
The,46
as,45
we,40
if,39
it,38
are,37
can,36
used,34
which,33
method,33
wiki,33
table,32
all,31
will,30
an,29
should,28
name,28
system,27
so,26
STRING,26
use,25
only,25
tests,24
new,23
{@link,22
no,22
file,22
need,21
current,21
call,20
based,20
set,20
get,20
run,19
list,19
keyword,19
Used,19
Set,19
Slim,18
type,18
when,18
have,18
row,17
one,17
null,17
do,17
since,17
fitnesse,16
pages,16
TODO:,16
results,16
remove,16
format,15
=,15
each,15
path,15
{@code,15
action,14
port,14
String,14
value,14
content,14
assert,14
suite,14
exception,14
files,14
+,14
\2003,2004,2005\,14
thread,13
without,13
instance,13
TO,13
NOSONAR,13
FROM,13
symbol,13
here,13
constructor,13
create,13
TODO,13
2nd,12
but,12
parent,12
default,12
has,12
act,12
first,12
returns,12
some,12
provide,12
arrange,12
fixture,12
given,12
return,12
was,11
then,11
implemented,11
at,11
Java,11
If,11
Test,11
A,11
description,11
directory,10
up,10
into,10
result,10
node,10
converter,10
expected,10
values,10
may,10
specifies,10
Add,10
annotation,10
1,10
information,9
don't,9
implement,9
symbols,9
/&gt;,9
socket,9
its,9
text,9
root,9
code,9
right,9
execution,9
Fitnesse,9
Template,9
they,9
would,9
property,9
types,9
it's,9
scenario,9
check,9
must,9
out,8
Defaults,8
them,8
output,8
know,8
IOException,8
other,8
tree,8
about,8
Creates,8
level,8
does,8
bit,8
number,8
valid,8
how,8
being,8
input,8
e.g.:,8
any,8
also,8
make,8
process,8
actual,8
token,8
called,8
executed,8
@throws,8
tables,8
empty,7
classpathref=&quot;classpath&quot;,7
arguments,7
relative,7
template,7
message,7
next,7
Use,7
you,7
just,7
via,7
Get,7
ports,7
Create,7
done,7
data,7
there,7
Extracted,7
request,7
Rick,7
end,7
work,7
interface,7
found,7
variables,6
itself,6
might,6
execute,6
It,6
loader,6
Node,6
function,6
responder,6
paths,6
created,6
PhpSlim,6
</pre>,6
\page,\,6
slim,6
&lt;taskdef,6
<pre>,6
No,6
JsSlim,6
args,6
Some,6
Make,6
see,6
We,6
case,6
SimpleDateFormat,6
\safe,\,6
independently,6
cache,6
HTML,6
deal,6
write,6
fixtures,6
where,6
true,6
want,6
needs,6
Note:,6
generic,6
way,6
invoke,6
lists,6
running,6
mode,6
properties,6
start,6
point,6
First,6
See,6
FAIL,6
eof,6
still,6
original,6
\"\x"\,\,5
their,5
--,5
\2003,2004\,5
For,5
stick,5
prevent,5
Return,5
clone,5
line,5
bad,5
strings,5
implementation,5
acceptance,5
rows,5
Remove,5
behavior,5
thrown,5
look,5
filter,5
debug,5
#,5
testing,5
match,5
replace,5
within,5
syntax,5
solver,5
revision,5
storing,5
expression,5
\assertDefinesValue("\!define\,5
-,5
keep,5
resolve,5
after,5
:,5
single,5
string,5
fail,5
conversion,5
can't,5
once,5
calls,5
folder,5
custom,5
allow,5
sure,5
listeners,5
specify,5
access,5
parser,5
change,5
tags,5
x,5
methods,5
List,5
specific,5
script,5
always,5
either,5
offset,4
own,4
Default,4
clazz,4
jUnit,4
service,4
|,4
me,4
todo,4
error,4
whitespace,4
before,4
Don't,4
beginTable,4
good,4
Returns,4
wrong,4
\here,\,4
invoked,4
time,4
ab,4
reset,4
variable,4
I,4
last,4
RedPrairie,4
ordered,4
\run,\,4
Corporation,4
<li>a,4
directly,4
converters,4
same,4
\"\EXCEPTION"\,\,4
store,4
endTable,4
TestRunner,4
history,4
compared,4
that's,4
hit,4
attributes,4
PRIVATE,4
support,4
@see,4
Should,4
collection,4
parameters,4
because,4
filename,4
File,4
add,4
ignore,4
>,4
stop,4
back,4
taken,4
==,4
plugin,4
standard,4
Nothing,4
Those,4
XML,4
context,4
now,4
\"\VOID"\,\,4
send,4
Ignore,4
plugins,4
most,4
whole,4
When,4
logging,4
read,4
SLIM,4
WikiWord,4
milliseconds,4
stored,4
base,4
both,4
newline,4
parsing,4
better,4
@author,4
client,4
<b>MUST,4
Added,4
following,4
why,3
arrays,3
like,3
Store,3
limit,3
We're,3
main,3
instead,3
runner,3
never,3
Fit,3
title,3
were,3
otherwise,3
fit,3
throw,3
using,3
Responder,3
0,3
\"\:"\\,3
info,3
JUnit,3
find,3
Can,3
started,3
what,3
assume,3
mainly,3
these,3
real,3
configured,3
nothing,3
more,3
resource=&quot;tasks.properties&quot;,3
handle,3
particular,3
length,3
z,3
fitnessePort,3
defined,3
fitnesse.junit.FitNesseRunner,3
considering,3
too,3
absolute,3
anything,3
required,3
variableSource,3
Special,3
available,3
child,3
tag,3
remember,3
interrupted,3
static,3
character,3
These,3
really,3
something,3
whether,3
Include,3
To,3
existing,3
Factory,3
<ul>,3
formatter,3
catch,3
specified,3
...use,3
commands,3
talking,3
assign,3
failed,3
print,3
general,3
</ul>,3
separate,3
object,3
group,3
java.beans,3
Task,3
Note,3
wait,3
define,3
factory,3
SystemExitSecurityManager},3
provided,3
\set,\,3
browsers,3
parse,3
4,3
escaped,3
//////////////////////////////////,3
enough,3
timeout,3
lexer,3
already,3
contains,3
we're,3
Format,3
uses,3
registry,3
OR,3
scheme,3
parsed,3
stream,3
double,3
Android,3
Exception,3
b,3
false,3
referenced,3
Close,3
'true',3
map,3
disable,3
2009,3
pass,3
Enforce,3
TODO-RcM,3
optional,3
important,3
\"\<i>y</i>"\);\,3
children,3
than,3
-AcD-,3
reflection,3
matches,3
Contents,3
load,3
Symbol,3
partial,3
exceptions,3
having,3
added,3
item,3
Runs,3
8bit,3
stores,3
host,3
waiting,3
seconds,3
optionally,3
digit,3
runtime,3
<,3
invocation,3
allows,3
column,3
fitnesseport=&quot;8082&quot;,3
content);,3
java,3
clean,3
through,3
Usage:,3
Handle,3
verbose,3
attribute,2
tested,2
\(xxxx,yyyyy)\,2
fitnesse.slim.converters.ConverterRegistry},2
Example:,2
declared,2
Generic,2
Suite,2
Now,2
negotiation,2
closing,2
sets,2
\symbol,\,2
note},2
Check,2
System#exit(int)},2
<code>null</code>,2
<T>,2
ba,2
section,2
below,2
passed,2
compatibility,2
stable,2
exist,2
decorated,2
Registers,2
fileVersion,2
\system,\,2
with:,2
field,2
wrapped,2
PASS,2
alternate,2
creation,2
sent,2
describing,2
doing,2
excessive,2
forget,2
resultsXMLPage,2
In-process,2
items,2
represents,2
assigned,2
second,2
Then,2
Utility,2
REFACTOR,2
Fixture,2
---create,2
reported,2
Only,2
(article),2
TableTable,2
Internet,2
requested,2
things,2
determine,2
<span,2
symbolName,2
setting,2
Prefix,2
logger,2
care,2
details,2
page),2
removed,2
checkNot},2
Run,2
Helper,2
serialized,2
examples:,2
contain,2
int,2
inside,2
pageBuilder,2
properly,2
..,2
such,2
So,2
SlimServer,2
resources,2
brackets,2
threw,2
html,2
build,2
Compare,2
comparing,2
Logger,2
inputs,2
state,2
You,2
benchmark,2
\escaped,\,2
could,2
flush(),2
array,2
probably,2
spaces,2
Todo:,2
server,2
import,2
groups,2
made,2
threads,2
NodeList,2
introduce,2
Class,2
instances,2
special,2
cloned,2
[,2
identifies,2
public,2
\Germany,\,2
Please,2
handled,2
markup,2
handles,2
unless,2
old,2
Need,2
An,2
environment,2
\collection,\,2
Semaphores,2
subclasses,2
fix,2
:(,2
XXX,2
Bye,2
IMPORTANT:,2
\languages,\,2
correctly,2
Name,2
representation,2
bits,2
asynchronously,2
\hit,\,2
SecurityManager},2
connect,2
page's,2
WikiPageFactory,2
testrunner,2
description),2
failOnError,2
assignments,2
Velocity,2
triggering,2
statements,2
ever,2
@deprecated,2
been,2
\"\<"\,\,2
\version,\,2
2016,2
descriptor,2
URL,2
equal,2
processed,2
although,2
modified,2
enable,2
\directly,\,2
Symbol},2
offsets,2
trace,2
dir,2
\connection,\,2
format:,2
lookups,2
NOOP's,2
!=,2
Expression,2
go,2
Would,2
example,2
apply,2
performance,2
identifier,2
happy,2
methodNames,2
\"\reset"\,\,2
Mock,2
improvement:,2
\GmbH,\,2
everything,2
bytes,2
wrong;,2
counts,2
bug,2
color,2
Files,2
\{${z}}"\,\,2
'normal',2
Thrown,2
matching,2
Enable,2
1:1,2
spare,2
Scenario,2
boolean,2
\"\>"\\,2
looking,2
(null,2
regexp,2
dispatch,2
Semaphores:,2
strange,2
invalid,2
classpath,2
encoding,2
\"\execute"\,\,2
wanting,2
delete,2
executionLogListener,2
context's,2
fact,2
skip,2
document,2
&nbsp;,2
move,2
left,2
FitnesseRoot,2
typically,2
Classpath,2
start},2
show},2
preorder,2
works,2
24-bit,2
Define,2
retrieve,2
convertor,2
possible,2
extension,2
(i.e,2
instructions,2
///////////////////////////////,2
Base,2
recursively,2
SET.</b>,2
score,2
2003,2
statement,2
Convert,2
two,2
windows,2
connections,2
streams,2
What,2
\"\setString"\,\,2
date,2
{y}\n!define,2
Walks,2
event,2
\address,\,2
AdScale,2
surplus,2
1st,2
6,2
\children,\,2
FitNesse.SuiteAcceptanceTests.SuiteSlimTests.TableTableSuite.SymbolsInTableTableManagedByTheFixture,2
address,2
Tests,2
counting,2
control,2
previous,2
protected,2
pre-,2
method),2
ordering,2
actions,2
daemon,2
features,2
Just,2
Client,2
systems,2
But,2
usually,2
IDEA,2
extra,2
comes,2
bb,2
resultsHTMLPage,2
rename,2
arg,2
subclass,2
Is,2
\name,\,2
<b>8082</b>,2
come,2
Not,2
runs,2
resultsdir,2
Ensure,2
collect,2
\exceptions,\,2
testSystemStopped,2
Pattern,2
missing,2
handling,2
MySuite.MySubSuite,2
followed,2
looks,2
SSL,2
Configuration,2
different,2
account,2
those,2
step,2
rid,2
registered,2
give,2
assertions,2
ones,2
appropriate,2
off,2
\extension,\,2
filder,2
todo:,2
suffix,2
qualifies,2
uri;,2
upon,2
\not,\,2
historyFormatter,2
management,2
order,2
\byte,\,2
Have,2
FitFailureException,2
command,2
.,2
\object,\,2
reject},2
\"\getStringArg"\,\,2
sending,2
above,2
Start,2
resolved,2
again,2
aa,2
trailing,2
!-,2
my,2
username,2
base64,2
Annotation,2
kept,2
Represents,2
expect,2
minimum,2
Components,2
listener,2
check},2
okay,2
Called,2
actually,2
IDE,2
ensure},2
Symbols,2
versions,2
...page,2
log,2
explicitly,2
elaborate,2
OutputStream,2
contents,2
Part,2
\"\URI\,2
\six42@gmx.net,\,2
SET</b>,2
WikiPage,2
fresh,2
frame,2
software,2
widgets,2
\Mugridge,\,2
In,2
scanner,2
3,2
headers,2
ScenarioTable,2
strike,2
enables,2
url,2
entry,2
RecentChanges,2
(do,1
Link,1
ParserTest.translateTo(new,1
task,1
0123456789012345678901,1
flagged,1
source,1
Term,1
\assertEquals("\stdOut:\,1
identical,1
(IMO),1
writes,1
subject,1
love,1
...invalid,1
Delete,1
SPNEGO,1
Time-out,1
failures,1
Version,1
lot,1
far,1
scriptTable,1
On,1
Everything,1
JavaBeansPropertyEditorConverterFactory,1
\"\exceptions\,1
reporting,1
reflection),1
call:,1
\method,\,1
logic:,1
Tell,1
\ScriptTables,\,1
declaration,1
(accessed,1
Auto-generated,1
\different,\,1
Advances,1
$Copyright-Start$,1
Continue,1
Shoudl,1
I'd,1
every,1
<li><code>Component(java.util.Properties,1
backward,1
resultsDir,1
expectations,1
ParsingPage,1
Storing,1
accepting,1
PageData.getVariable()),1
<code>PreventSystemExit</code>,1
incorrect,1
\"\|\,1
Separate,1
https://github.com/fhoeben/hsac-fitnesse-plugin/blob/master/src/main/java/nl/hsac/fitnesse/slim/AutoArgScenarioTable.java,1
server:</p>,1
\to,\,1
\(italic,\,1
greater,1
\"\fitnesse.root.dir.parent"\)</code></li>\,1
swallow,1
Converter,1
closed,1
Commit,1
begin,1
measured,1
LOG.info(update.getMessage());,1
\{"\OK"\,\,1
(hashable),1
verbatim,1
logging:,1
(ConsoleHandler,1
1/10/2003,1
Retrieve,1
similar,1
user,1
FileVersion,1
sender.flush();,1
seem,1
trick,1
beyond,1
resultshtmlpage=&quot;fit-results.html&quot;,1
\encoding,\,1
fitnesse.wikitext.parser.Symbol},1
createTestPageTree(),1
Packs,1
IntelliJ,1
\"\fixture"\\,1
\mock,\,1
simple,1
\-1,\,1
fields:,1
wikiPagePath,1
Each,1
fields,1
principal=&quot;HTTP/your.web.server@YOUR.REALM&quot;,1
files/,1
pruning,1
RFC,1
multiple,1
com.sun.beans.EnumEditor,1
responsibility,1
generate,1
DiffScriptTables,1
\usage,\,1
6.8,1
filtering,1
suitepage=&quot;FitNesse.SuiteAcceptanceTests&quot;,1
settings,1
Directory</strong></p>,1
\component"\\,1
\"\chroot"\\,1
velocity,1
(instead,1
paste,1
prefixed,1
\assertNotSubString("\PageOne"\,\,1
Linux,1
sockets,1
\anyway,\,1
decision,1
as-is,1
reached,1
unit,1
suitePage,1
Performs,1
({@link,1
IOException's),1
Server's,1
committed,1
recommended,1
|suite|,1
surprises,1
timestamp,1
DoFixture,1
live,1
compare,1
(the,1
(MIME),1
unix,1
waitFor(),1
API,1
locked,1
executionLogListener.exceptionOccurred(e),1
Chop,1
25Apr,1
outer,1
VersionInfo,1
void,1
factories,1
&lt;start-fitnesse,1
Probably,1
.8,1
\Okay,\,1
SlimCoverageTestSystem,1
corporate,1
(I,1
preformatted,1
Morel,1
Android),1
\assertNotSubString("\PageOne.ChildPagae"\,\,1
evaluated,1
constructors,1
processes,1
\"\<span\,1
introduction,1
\Slim,\,1
Negotiate),1
feed,1
mechanisms,1
characters,1
composed,1
Kerberos/Active,1
validly,1
try,1
\args},\,1
term,1
beforehand,1
requirement,1
hard,1
finish,1
Throwing,1
(with,1
builder's,1
again:,1
problem,1
looked,1
scenario's,1
included,1
Subclasses,1
plugins..,1
camelCase,1
size,1
Fully,1
\FitNesse.SuiteAcceptanceTests,\,1
Avoid,1
dummy/debug,1
\strings,\,1
useKeyTab=true,1
time..,1
Do,1
ball;,1
