File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\Division.java,23,15,11,1,6,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\GetDates.java,12,8,6,1,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\Bowling.java,22,11,10,0,9,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\BowlingGame.java,167,140,102,20,25,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\BowlingScorer.java,59,46,34,10,11,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\fixtures\FinalScore.java,38,29,20,3,7,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\fixtures\GameTiming.java,52,38,27,9,12,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\fixtures\ScoreGame.java,149,125,78,21,22,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\fixtures\SimpleScoreGame.java,40,32,22,4,6,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\employeePayroll\Employees.java,18,11,8,0,5,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\employeePayroll\PayCheck.java,14,9,8,0,3,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\employeePayroll\PaycheckInspector.java,20,14,7,2,4,2,2,34,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\employeePayroll\PayDay.java,18,10,7,0,6,0,2,24,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\triviaGameExample\Game.java,53,41,28,12,12,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\triviaGameExample\Player.java,14,10,7,1,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\triviaGameExample\fitnesseFixtures\AddRemovePlayerFixture.java,35,27,21,4,8,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\triviaGameExample\fitnesseFixtures\GameTurnFixture.java,27,20,15,2,7,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\triviaGameExample\fitnesseFixtures\StaticGame.java,8,5,4,0,3,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\ActionFixture.java,120,97,69,15,20,1,3,33,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\Binding.java,243,207,143,36,32,1,4,46,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\ColumnFixture.java,76,62,41,4,11,2,3,34,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\Comment.java,8,3,2,0,2,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\Counts.java,65,53,30,6,9,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FileRunner.java,86,68,56,2,13,0,5,53,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FitMatcher.java,71,57,49,18,11,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FitProtocol.java,63,50,40,4,11,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FitServer.java,230,195,149,16,30,1,5,66,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\Fixture.java,434,351,264,46,66,9,17,150,3,33
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FixtureClass.java,42,26,19,2,8,0,8,54,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FixtureListener.java,11,5,4,0,3,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FixtureLoader.java,89,65,44,9,16,0,8,74,6,56
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FixtureName.java,54,38,26,7,12,0,4,38,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\FixtureSupplier.java,6,4,3,0,2,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\ImportFixture.java,13,8,5,0,2,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\NullFixtureListener.java,15,9,4,0,3,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\Parse.java,200,162,123,33,30,1,8,75,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\PrimitiveFixture.java,49,30,21,5,12,0,7,59,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\RowFixture.java,219,193,150,27,20,2,6,70,5,53
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\ScientificDouble.java,96,72,48,21,18,0,6,63,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\SemaphoreFixture.java,95,74,55,14,19,1,2,11,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\SummaryFixture.java,63,47,32,7,10,0,6,60,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\TimedActionFixture.java,45,28,20,3,10,0,7,68,5,53
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\TypeAdapter.java,406,339,222,84,53,0,14,90,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\WikiRunner.java,28,17,13,0,6,2,5,65,3,32
