Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1122,98773,78410,56297,7273,17534,158,2829,21438,1055,11271
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418,1122,98773,78410,56297,7273,17534,158,2829,21438,1055,11271
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src,726,53081,41417,30040,6444,9615,77,2049,15350,674,7283
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg,18,769,591,415,90,154,2,24,298,24,288
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling,7,527,421,293,67,92,0,14,168,14,168
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\bowling\fixtures,4,279,224,147,37,47,0,8,96,8,96
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\employeePayroll,4,70,44,30,2,18,2,8,106,8,96
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\triviaGameExample,5,137,103,75,19,34,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\eg\triviaGameExample\fitnesseFixtures,3,70,52,40,6,18,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit,55,3845,3016,2179,441,623,21,206,1890,130,1324
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator,16,817,659,477,80,150,1,8,42,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\exceptions,1,10,7,5,0,3,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\performance,3,131,105,77,4,26,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util,7,463,375,268,66,84,0,4,30,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception,11,173,85,62,1,38,0,50,462,46,433
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\testFxtr,2,28,12,8,1,6,0,10,63,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse,644,47017,36729,26650,5763,8622,53,1666,12282,502,5483
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesseMain,5,727,491,375,58,97,0,139,744,8,88
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesseMain\ant,3,386,208,156,12,43,0,135,699,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication,19,774,554,399,85,143,5,77,606,34,374
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components,8,441,325,247,49,85,0,31,210,10,110
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures,50,2004,1531,1110,198,391,4,82,869,76,836
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html,13,848,640,470,83,177,0,31,237,14,154
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template,7,510,382,289,37,109,0,19,119,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\http,16,1487,1196,885,152,261,0,30,295,24,264
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\junit,10,1441,1091,764,135,222,0,128,595,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\logging,1,50,37,26,5,10,0,3,6,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\plugins,6,542,442,312,49,90,0,10,40,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\reporting,26,2712,2170,1573,268,509,5,33,219,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\reporting\history,14,1931,1578,1152,216,339,0,14,80,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders,72,7463,5996,4586,932,1328,1,139,1345,92,1012
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders\editing,12,1254,1012,798,150,213,1,29,258,16,176
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders\files,8,735,581,449,99,129,0,25,254,16,176
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders\refactoring,8,572,443,333,64,120,0,9,97,8,88
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders\run,3,544,439,329,66,98,0,7,62,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders\search,4,337,256,188,44,74,0,7,75,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders\testHistory,9,1440,1192,886,220,246,0,2,27,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\responders\versions,5,423,347,276,63,69,0,7,73,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim,124,6327,4758,3388,742,1286,9,283,2126,55,597
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim\converters,25,869,643,458,115,180,0,46,348,14,154
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim\converters\beans,3,98,63,45,8,19,0,16,109,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim\fixtureInteraction,8,551,411,293,86,101,0,39,372,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim\instructions,11,892,692,487,108,187,0,13,53,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim\protocol,4,317,230,169,34,68,0,19,166,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim\test,38,1347,999,678,141,313,3,35,292,16,176
