Word,Count
*,114401
the,42189
,15682
@param,11081
of,10372
a,9815
for,9141
to,7707
:,6572
and,6392
is,6045
The,5515
(DG);,5137
@return,4828
that,4306
by,4199
Returns,3650
in,3648
null},3580
be,3520
it,3448
or,3429
A,3368
series,3365
{@code,3335
not,3263
({@code,3201
permitted),3125
if,3054
library,2968
this,2953
License,2939
General,2937
Public,2935
GNU,2934
Lesser,2934
{@link,2711
Object,2702
@see,2697
Refinery,2685
This,2549
item,2476
an,2447
with,2419
registered,2281
method,2240
are,2185
chart,2184
value,2155
index,2141
dataset,2078
version,2020
and/or,1969
free,1964
Software,1962
===========================================================,1962
Free,1956
trademarks,1954
Copyright,1902
(C),1902
all,1894
axis,1803
Limited,1785
paint,1784
as,1724
range,1599
will,1567
can,1564
plot,1542
Contributors,1526
should,1526
Added,1511
listeners,1444
new,1442
flag,1414
data,1404
Sets,1396
object,1377
@since,1305
label,1219
but,1209
you,1198
any,1191
specified,1182
JFreeChart,1173
sends,1172
used,1144
have,1130
null}),1114
more,1089
may,1074
copy,1068
Java,1043
its,1034
You,1034
names,1023
along,1021
without,1018
either,1014
under,1009
your,1008
write,1007
See,998
even,997
received,997
their,996
\not,\,995
(for,994
later,989
modify,989
details,986
Info:,984
Project,983
platform,983
http://www.jfree.org/jfreechart/index.html,983
distributed,981
Java(tm),981
(at,981
terms,981
respective,980
FOR,980
Other,979
\useful,\,979
implied,979
WITHOUT,979
Franklin,978
51,978
Foundation;,978
\License,\,978
ANY,978
PARTICULAR,978
warranty,978
\Street,\,978
MERCHANTABILITY,978
FITNESS,978
Fifth,978
\02110-1301,\,978
PURPOSE,978
2.1,978
redistribute,978
\Floor,\,978
MA,978
\Foundation,\,978
software;,978
library;,978
option),978
\Boston,\,978
USA,978
WARRANTY;,978
\Inc.,\,978
hope,978
published,978
David,977
[Oracle,977
affiliates,977
owners.],977
Oracle,977
area,946
class,933
renderer,933
key,931
Original,929
Author:,925
Contributor(s):,907
Gilbert,901
Limited);,892
whether,865
check,858
1,837
default,833
Version,832
@throws,827
Creates,827
values,818
from,811
(zero-based),738
Changes,729
\2000-2016,\,727
on,713
-------,690
Tests,687
-;,683
row,675
stroke,675
there,672
column,671
generator,640
equality,637
tick,628
text,626
number,620
instance,611
(never,591
boolean,588
point,586
items,576
width,574
Fixed,568
controls,563
Some,554
serialization,554
event,552
domain,552
graphics,547
time,542
draw,530
code,528
bug,526
checks,526
g2,504
legend,502
within,500
(possibly,494
list,493
stream,491
-,488
(in,484
device,480
anchor,473
line,463
required,455
drawn,449
string,448
clone,443
change,425
test,423
support,420
state,414
use,411
no,409
shape,408
at,407
font,406
which,402
cloning,397
info,381
visible,380
position,378
equals(),377
outline,377
null,376
one,372
category,368
date,367
maximum,362
title,357
PlotChangeEvent},357
collection,355
RendererChangeEvent},352
Confirm,348
image,345
space,342
bar,341
\instance,\,338
Draws,335
methods,329
we,328
drawing,327
each,327
obj,323
hash,319
bound,317
restore,316
For,316
first,314
return,314
period,312
x-value,309
format,309
Java2D,308
\it,\,308
Serialize,307
true},307
index),307
=,306
problem,305
height,301
base,298
(zero-based,297
notify,288
information,287
constructor,284
end,284
when,284
same,282
IOException,281
fields,280
-->,280
Implemented,277
arbitrary,277
source,276
labels,275
x,273
interface,272
start,271
I/O,269
using,267
error,265
location,263
entity,263
type,262
current,262
tool,261
angle,258
y,257
crosshair,257
URL,257
given,256
lower,254
Updated,254
Use,253
y-value,251
axes,251
has,250
If,250
dataArea,248
minimum,240
equal,240
set,239
last,239
tip,238
works,235
objects,235
Check,233
Removed,232
upper,232
only,229
marker,227
edge,227
into,226
-------------,225
\2000-2017,\,224
count,223
unit,220
order,219
annotation,217
between,215
size,214
pie,212
formatter,211
name,211
so,210
Provides,210
<P>,207
Changed,206
block,206
array,204
tests,203
1.0.13,202
CloneNotSupportedException,202
--------,201
bounds,201
section,199
An,198
where,198
Changes:,197
false},196
---------------------------------------------,196
rendering,194
factor,193
pass,193
listener,192
output,191
background,190
color,188
some,186
orientation,186
Adds,186
length,186
fixed,185
need,184
JFREECHART,182
about,182
display,181
1.0.x,179
percentage,179
(if,179
standard,178
radius,177
returns,177
lines,176
rectangle,176
millisecond,175
argument,175
against,175
ParamChecks,173
patch,172
1.0.14,170
errors,169
offset,169
coordinate,165
keys,165
constraint,165
add,165
1.0.11,165
then,165
fill,164
than,164
Renamed,163
see,162
hashCode,160
otherwise,158
map,158
calendar,158
layer,157
shadow,157
returned,155
container,154
zone,154
distinguish,153
1.0.7,152
added,152
year,151
zoom,151
being,150
zero,149
other,149
Moved,148
Constructs,148
interval,147
single,147
negative,146
containing,145
up,145
reported,145
grid,144
changes,143
\1,\,141
Modified,141
month,140
notification,140
Removes,139
try,139
been,138
now,137
equals,137
based,136
another,136
margin,136
Checkstyle,134
\axis,\,132
panel,132
input,131
empty,131
second,131
rotation,130
space),130
relative,129
implementation,129
alignment,129
generated,126
ticks,126
create,126
implements,126
locale,126
<p>,126
two,125
Two,125
override,125
int),124
contains,124
-----------------------,122
displayed,121
left,120
right,119
Serializable,119
\and,\,119
attributes,118
ClassNotFoundException,117
--------------------,117
-------------------------,117
y-coordinate,116
PublicCloneable,116
does,116
double,116
\2003-2016,\,116
table,115
columnKey,115
get,115
classpath,114
representing,114
out,113
DatasetChangeEvent},113
minor,113
make,111
-------------------,110
----------------------,110
tooltip,110
call,109
Storage,109
cloned,109
---------------------------,108
day,108
outlier,108
--------------------------,107
supplied,106
field,106
\requested,\,106
insets,106
dial,106
------------------------,106
units),106
0},105
attribute,105
indicating,105
was,104
y-interval,104
x-values,103
do,103
determines,103
indicates,103
(or,102
just,102
scale,102
available,102
subplot,102
shapes,101
x-coordinate,101
over,101
AxisChangeEvent},101
rowKey,100
gap,100
positive,100
Richard,100
after,98
frame,98
case,98
contributed,98
(as,98
plotted,97
description,97
handle,97
horizontal,97
visibility,96
automatically,95
account,95
percent,95
arrow,94
\(x,\,94
---------------,94
tooltips,93
border,93
called,93
vertical,93
here,93
1.0.3,93
top,93
---------------------,93
reference,93
bars,92
marks,92
calculate,92
1.0.6,92
multiple,92
week,92
Calculates,91
<br><br>,90
==,90
because,90
changed,90
hashCode(),90
------------------,90
implemented,89
Set,89
clone(),88
sample,88
x-interval,88
target,88
domainAxis,87
\series,\,87
coordinates,86
2,85
02-Jul-2013,85
must,85
\2004-2016,\,85
units,85
0,85
points,84
setting,84
Test,84
rangeAxis,84
calculation,84
03-Jul-2013,83
API,83
nothing,82
alpha,82
any),82
taken,81
date/time,81
center,80
ensure,80
defer,79
update,79
generate,78
plotArea,78
included,78
cannot,78
arrangement,78
\plot,\,78
drawItem(),77
includeInterval,77
defined,77
IllegalArgumentException,77
regular,77
Cloneable,77
In,76
(zero,76
property,76
mean,76
----------------,76
starting,76
Peter,76
\null},\,76
bottom,76
-----------------,76
representation,75
Note,75
ignored,75
box,75
datasets,75
uses,75
passed,75
optional,74
1.0.10,73
settings,73
existing,73
DialLayerChangeEvent},73
simple,73
report,72
independence,72
around,71
y),71
testEquals(),71
series},70
entities,70
independent,70
(not,70
control,70
markers,70
element,70
hour,70
group,69
Fix,69
HTML,69
getSeriesCount(),69
\dataset,\,68
special,68
file,68
URLs,68
collects,67
properties,67
distinguishes,67
Kolb,67
constant,67
doesn't,67
sources,67
underlying,66
milliseconds,66
classes,66
charts,66
\2005-2016,\,66
implement,66
they,66
//,66
23-Apr-2008,65
indicate,65
fix,65
particular,65
before,65
inside,65
never,65
fit,64
Checks,64
TBLRC,64
\method,\,64
02-Feb-2007,64
padding,64
shown,64
\2003-2008,\,63
integer,63
tags,63
filled,63
deprecated,63
don't,63
--------------,62
-------------------------------,62
thrown,62
Generates,62
getLegendItem(),62
supported,62
XYPlot},62
(patch,62
parent,61
Now,61
include,61
(see,61
zooming,61
next,61
true,61
parameter,61
removed,61
outside,60
primitive),60
sure,60
exception,60
following,60
represent,60
SeriesChangeEvent},59
empty),59
utility,59
user,59
since,59
passes,59
crosshairs,59
screen,59
requires,59
author,59
both,58
draws,58
subclasses,58
series),58
datasetIndex,58
result,58
X,58
immutable,58
Replaced,58
work,58
based),58
1}),57
assigned,57
remove,57
package,57
Switched,57
\2006-2016,\,57
amount,57
previous,56
(RA);,56
Receives,56
specific,56
query,56
(which,56
primary,56
needle,55
grid-lines,55
Atkinson;,55
PublicCloneable},55
22-Apr-2008,55
also,55
categories,54
maps,54
-----------------------------,54
original,54
Updates,54
theme,54
represents,54
|,54
basic,54
(must,54
blocks,53
Add,53
subplots,53
(can,53
cursor,53
false,53
ending,53
function,53
calculated,53
mouse,53
quarter,52
header,52
renderers,52
configure,52
plots,52
average,52
2D,52
draw(),52
rows,52
instances,52
back,51
----------------------------,51
CategoryDataset,51
(the,51
parameters,51
mechanism,51
sequence,51
JSON,51
allow,51
exceptions,51
private,50
Comparable),50
cycle,50
findRangeBounds(),50
NOT,50
updated,50
testPublicCloneable(),50
outlines,50
(a,50
Arranges,50
11-Jan-2005,50
bin,50
\immutable,\,50
1.0.5,50
y-values,50
\2002-2016,\,49
duplicate,49
1.0.4,49
Clears,49
limit,49
minute,49
visual,49
associated,49
transparency,48
0),48
database,48
SerialDate,48
stacked,48
1.0.0,48
allowed,48
auto,48
find,48
handler,48
middle,48
transformer,48
buffer,48
supplier,47
determine,47
task,47
behaviour,47
20-Apr-2005,47
encoding,47
complete,47
{,47
necessary,47
menu,47
Y,46
direction,46
defines,46
},46
15-Jul-2004,46
indices,46
AnnotationChangeEvent},46
getXValue(),46
content,46
/,45
band,45
creating,45
Made,45
Default,45
example,45
link,45
1.0.12,45
getX(),45
------------------------------,44
extends,44
TODO:,44
events,44
corresponding,44
handling,44
etc),44
checking,44
already,44
less,44
connection,44
LegendItem,44
ArrayIndexOutOfBoundsException,44
XY,44
getY(),43
plot's,43
1.0.18,43
testPublicCloneable,43
component,43
\2007-2016,\,43
determined,43
pointer,43
<img,43
13-Mar-2003,43
directly,43
seriesKey,43
obtain,43
program,43
general,42
falls,42
deviation,42
periods,42
release,42
different,42
formatters,42
25-Mar-2003,42
+,42
\value,\,41
expected,41
setup,41
aligned,41
preparation,41
\int,\,41
26-Mar-2003,41
(this,41
matrix,41
match,41
gradient,41
specifying,41
serial,41
allows,41
displays,41
\class,\,41
getYValue(),41
median,41
polygon,41
possible,41
close,41
painter,40
Verify,40
want,40
