File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartColor.java,190,70,33,1,32,0,88,549,44,275
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartFactory.java,2303,1065,711,135,193,7,1045,6901,124,871
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartFrame.java,91,24,18,2,9,0,58,301,35,216
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartHints.java,110,25,14,4,11,0,74,406,39,227
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartMouseEvent.java,119,27,21,3,14,0,78,445,45,284
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartMouseListener.java,74,6,5,0,7,0,61,343,44,269
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartPanel.java,3027,1604,1146,192,314,13,1109,6095,48,272
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartRenderingInfo.java,258,89,65,18,22,0,147,780,48,293
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartTheme.java,62,4,3,0,5,0,53,311,39,225
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartTransferable.java,278,104,74,8,25,0,149,770,41,244
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ChartUtils.java,732,253,147,9,82,0,397,2380,37,223
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\HashUtils.java,347,128,91,34,20,0,199,989,44,264
