Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,987,293256,132452,96753,16249,27475,553,133329,675674,43939,270603
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master,987,293256,132452,96753,16249,27475,553,133329,675674,43939,270603
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src,987,293256,132452,96753,16249,27475,553,133329,675674,43939,270603
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main,637,219820,92508,64461,16064,19120,398,108192,551359,29660,186553
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java,637,219820,92508,64461,16064,19120,398,108192,551359,29660,186553
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org,637,219820,92508,64461,16064,19120,398,108192,551359,29660,186553
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree,637,219820,92508,64461,16064,19120,398,108192,551359,29660,186553
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart,440,167386,72726,50927,12011,14819,343,79841,407558,20828,132601
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\annotations,20,6300,2662,1960,423,566,2,3072,15139,905,5594
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\axis,44,20306,9460,6470,1598,1689,104,9157,49277,2355,15211
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\block,21,5382,2313,1575,425,428,5,2641,12899,892,5302
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\date,4,1492,543,363,102,192,0,757,4170,84,569
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\editor,12,3020,1472,1082,113,362,0,1186,5851,488,2848
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\encoders,6,828,219,146,16,70,0,539,3046,251,1498
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\entity,14,2812,942,654,199,243,0,1627,7784,642,3911
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\event,19,1467,209,155,12,150,0,1108,6003,770,4572
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\imagemap,7,723,191,113,18,57,0,475,2716,293,1760
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\labels,36,6184,2073,1394,359,566,2,3545,18867,1596,9531
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\needle,10,1828,719,523,132,196,1,913,4410,441,2656
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\panel,3,803,441,322,60,51,4,311,1629,105,643
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\plot,61,42435,18864,13373,3339,3712,62,19859,96288,3553,23356
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\plot\dial,16,6269,2468,1823,407,554,0,3247,14187,668,3930
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\renderer,72,41670,18762,13033,2969,3579,89,19329,99460,4327,28797
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\renderer\category,24,14286,6632,4514,1004,1217,42,6437,33553,1525,10182
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy,34,20691,9511,6697,1452,1792,39,9388,49513,2137,14431
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\resources,1,66,15,11,1,7,0,44,245,35,214
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\text,10,2379,1097,770,188,230,1,1052,5502,250,1698
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\title,10,4831,2186,1562,350,382,2,2263,11140,528,3430
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\ui,23,3322,1322,920,193,386,0,1614,8317,638,4340
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\chart\urls,13,1898,636,446,138,168,2,1094,5943,589,3601
