File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\Connection.java,827,129,121,1,109,0,589,3518,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\HttpStatusException.java,31,21,15,3,7,0,3,15,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\Jsoup.java,254,68,52,15,20,0,166,1146,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\package-info.java,4,1,1,0,0,0,3,17,3,17
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\SerializationException.java,49,15,10,0,5,0,29,174,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\UncheckedIOException.java,14,10,7,1,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\UnsupportedMimeTypeException.java,31,21,15,3,7,0,3,16,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\examples\HtmlToPlainText.java,131,91,67,12,16,12,24,272,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\examples\ListLinks.java,57,44,31,7,10,0,3,11,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\examples\package-info.java,4,1,1,0,0,0,3,14,3,14
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\examples\Wikipedia.java,28,19,15,1,6,0,3,11,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\helper\ChangeNotifyingArrayList.java,83,64,40,8,16,0,3,14,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\helper\DataUtil.java,272,187,146,41,26,15,59,538,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\helper\HttpConnection.java,1273,1029,765,217,174,27,70,667,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\helper\StringUtil.java,256,144,101,46,29,1,83,584,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\helper\Validate.java,113,47,25,10,14,0,52,228,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\helper\W3CDom.java,177,125,105,11,19,6,33,178,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\internal\ConstrainableInputStream.java,122,89,68,20,17,4,16,169,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\internal\Normalizer.java,18,10,7,2,5,0,3,18,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\internal\package-info.java,6,1,1,0,1,0,4,24,4,24
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\Attribute.java,207,124,86,23,26,6,57,308,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\Attributes.java,446,287,203,57,57,8,102,599,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\BooleanAttribute.java,21,10,6,1,3,0,8,41,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\CDataNode.java,45,30,17,2,8,0,7,28,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\Comment.java,58,30,18,4,10,0,18,60,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\DataNode.java,73,32,22,5,12,1,29,137,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\Document.java,577,288,213,58,69,9,220,1225,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\DocumentType.java,110,71,50,11,11,1,28,136,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\Element.java,1472,719,510,176,156,8,597,3961,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\Entities.java,356,230,165,54,37,9,89,609,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\EntitiesData.java,11,6,5,0,2,0,3,17,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\FormElement.java,114,67,50,13,13,2,34,248,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\LeafNode.java,99,79,50,16,19,1,1,17,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\Node.java,726,371,275,77,98,7,257,1648,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\package-info.java,4,1,1,0,0,0,3,6,3,6
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\PseudoTextElement.java,25,14,8,0,7,0,4,26,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\TextNode.java,149,70,50,15,25,0,54,297,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes\XmlDeclaration.java,92,54,35,6,13,2,25,127,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\parser\CharacterReader.java,484,362,264,111,63,10,59,379,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\parser\HtmlTreeBuilder.java,738,593,427,145,105,42,40,581,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,1526,1426,1148,385,44,31,56,646,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\parser\package-info.java,5,1,1,0,1,0,3,11,3,11
