Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,112,27967,19692,14777,2610,3680,491,4595,31325,22,91
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3,112,27967,19692,14777,2610,3680,491,4595,31325,22,91
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src,112,27967,19692,14777,2610,3680,491,4595,31325,22,91
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main,67,18204,11970,8573,2491,2013,329,4221,28120,22,91
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java,67,18204,11970,8573,2491,2013,329,4221,28120,22,91
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org,67,18204,11970,8573,2491,2013,329,4221,28120,22,91
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup,67,18204,11970,8573,2491,2013,329,4221,28120,22,91
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\examples,4,220,155,114,20,32,12,33,308,3,14
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\helper,6,2174,1596,1182,333,278,49,300,2209,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\internal,3,146,100,76,22,23,4,23,211,4,24
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\nodes,18,4585,2483,1764,518,566,54,1536,9490,3,6
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\parser,15,6497,5354,3883,1184,524,166,619,4934,3,11
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\safety,3,828,466,327,82,96,23,266,1726,3,10
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\main\java\org\jsoup\select,11,2544,1551,1006,309,342,21,651,4356,3,9
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test,45,9763,7722,6204,119,1667,162,374,3205,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java,45,9763,7722,6204,119,1667,162,374,3205,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org,45,9763,7722,6204,119,1667,162,374,3205,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup,45,9763,7722,6204,119,1667,162,374,3205,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\helper,4,652,527,439,4,118,1,7,51,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\integration,11,1697,1305,950,29,264,56,128,1036,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\integration\servlets,6,308,233,177,19,63,2,12,92,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\internal,1,80,57,50,0,18,2,5,38,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\nodes,10,2910,2302,1883,38,519,41,89,678,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\parser,11,2477,1988,1580,24,390,33,99,1027,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\safety,1,309,237,189,0,60,7,12,126,0,0
C:\Users\SHUBHAM\Desktop\Projects\jsoup-jsoup-1.11.3\src\test\java\org\jsoup\select,5,1583,1264,1082,21,289,22,30,238,0,0
