File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\Constants.java,102,19,18,0,16,0,67,211,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\XID.java,92,27,19,6,12,0,53,193,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\exception\EurekaRegistryException.java,60,15,10,0,5,0,40,158,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\exception\FrameworkErrorCode.java,125,33,12,1,11,0,81,263,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\exception\FrameworkException.java,164,54,39,9,21,0,89,322,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\exception\NotSupportYetException.java,61,15,10,0,7,0,39,175,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\exception\ShouldNeverHappenException.java,61,15,10,0,7,0,39,175,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\exception\StoreException.java,90,23,15,0,9,0,58,226,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\executor\Callback.java,37,4,3,0,5,0,28,130,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\executor\Initialize.java,32,4,3,0,5,0,23,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\loader\EnhancedServiceLoader.java,318,196,137,35,28,0,94,422,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\loader\EnhancedServiceNotFoundException.java,84,24,16,1,10,0,50,228,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\loader\LoadLevel.java,49,13,10,0,5,0,31,134,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\thread\NamedThreadFactory.java,74,31,24,3,9,0,34,163,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\thread\RejectedPolicies.java,55,25,18,4,5,0,25,129,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\util\BlobUtils.java,94,43,32,8,13,0,38,162,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\util\CollectionUtils.java,48,10,7,2,6,0,32,142,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\util\CompressUtil.java,96,54,44,9,6,0,36,140,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\util\NetUtil.java,209,119,92,24,19,0,71,250,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\util\ReflectionUtil.java,194,84,65,15,13,0,97,442,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\util\StringUtils.java,201,118,87,40,18,0,65,242,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\XIDTest.java,71,28,19,0,10,0,33,139,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\exception\FrameworkExceptionTest.java,158,90,57,0,17,0,51,182,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\exception\Message.java,105,35,23,0,15,0,55,175,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\loader\ChineseHello.java,33,8,4,1,4,0,21,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\loader\EnglishHello.java,33,8,4,1,4,0,21,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\loader\EnhancedServiceLoaderTest.java,101,45,28,0,14,0,42,176,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\loader\FrenchHello.java,33,8,4,1,4,0,21,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\loader\Hello.java,33,4,3,0,3,0,26,122,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\thread\NamedThreadFactoryTest.java,44,19,14,0,6,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\thread\RejectedPoliciesTest.java,98,57,42,0,9,0,32,152,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\util\BlobUtilsTest.java,70,28,16,0,8,0,34,150,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\util\NetUtilTest.java,164,84,53,0,19,0,61,220,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\util\StringUtilsTest.java,89,39,28,2,13,0,37,156,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main\java\io\seata\config\apollo\ApolloConfiguration.java,173,127,85,14,20,0,26,124,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main\java\io\seata\config\apollo\ApolloConfigurationProvider.java,33,11,7,1,3,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\AbstractConfiguration.java,118,68,37,15,20,0,30,138,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\ConfigChangeListener.java,43,6,5,0,6,0,31,138,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\ConfigFuture.java,211,87,62,14,19,0,105,333,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\ConfigType.java,58,15,8,3,4,0,39,153,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\Configuration.java,227,26,25,0,27,0,174,603,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\ConfigurationFactory.java,68,33,26,3,6,0,29,130,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\ConfigurationKeys.java,43,7,6,0,3,0,33,138,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\ConfigurationProvider.java,30,4,3,0,2,0,24,122,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config\FileConfiguration.java,293,196,141,26,45,0,52,200,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java\io\seata\config\nacos\NacosConfiguration.java,143,99,70,9,18,0,26,129,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java\io\seata\config\nacos\NacosConfigurationProvider.java,38,16,11,1,3,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata\config\zk\ZookeeperConfiguration.java,178,140,100,18,19,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata\config\zk\ZookeeperConfigurationProvider.java,37,15,10,1,3,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\constants\ConfigurationKeys.java,97,18,17,0,14,0,65,200,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\context\ContextCore.java,51,6,5,0,6,0,39,159,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\context\ContextCoreLoader.java,51,17,12,2,8,0,26,123,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\context\RootContext.java,123,49,35,9,19,0,55,195,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\context\ThreadLocalContextCore.java,55,25,15,4,10,0,20,112,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\exception\AbstractExceptionHandler.java,72,23,18,0,9,0,40,172,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\exception\TransactionException.java,111,31,22,1,12,0,68,247,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\exception\TransactionExceptionCode.java,156,37,16,4,27,0,92,292,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\BranchStatus.java,146,40,22,5,25,0,81,304,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\BranchType.java,62,16,10,4,7,0,39,155,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\GlobalStatus.java,174,44,21,5,29,0,101,355,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\Resource.java,50,6,5,0,7,0,37,184,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\ResourceManager.java,55,8,7,0,8,0,39,174,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\ResourceManagerInbound.java,57,7,6,0,6,0,44,231,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\ResourceManagerOutbound.java,69,10,7,0,7,0,52,243,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\TransactionManager.java,75,10,8,0,8,0,57,311,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractIdentifyRequest.java,254,133,102,21,30,1,91,298,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractIdentifyResponse.java,149,77,59,12,21,0,51,179,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractMessage.java,325,173,132,36,21,0,131,382,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractResultMessage.java,159,94,69,20,18,1,47,173,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\HeartbeatMessage.java,48,15,11,1,6,0,27,126,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\IncompatibleVersionException.java,35,6,4,0,4,0,25,125,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergedMessage.java,35,5,4,0,4,0,26,125,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergedWarpMessage.java,115,74,57,13,13,0,28,127,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergeMessage.java,27,3,2,0,3,0,21,114,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergeResultMessage.java,124,71,54,12,14,0,39,161,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MessageCodec.java,50,7,6,0,6,0,37,155,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MessageFuture.java,117,44,33,6,13,0,60,215,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterRMRequest.java,166,107,78,23,19,0,40,172,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterRMResponse.java,52,16,11,1,7,0,29,139,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterTMRequest.java,72,25,15,2,10,0,37,176,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterTMResponse.java,52,16,11,1,7,0,29,139,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\ResultCode.java,63,16,10,4,7,0,40,157,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RpcMessage.java,136,43,31,6,17,0,76,236,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\Version.java,79,20,15,2,13,0,46,180,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractBranchEndRequest.java,265,143,112,25,32,0,90,275,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractBranchEndResponse.java,167,89,69,11,19,0,59,199,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractGlobalEndRequest.java,130,70,53,10,16,0,44,165,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractGlobalEndResponse.java,80,35,26,2,12,0,33,142,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractTransactionRequest.java,45,9,8,0,7,0,29,136,15,98
