Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,404,48981,25106,17874,2915,6350,21,17525,72085,6002,39202
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0,404,48981,25106,17874,2915,6350,21,17525,72085,6002,39202
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common,34,3278,1379,966,162,356,0,1543,6337,510,3332
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src,34,3278,1379,966,162,356,0,1543,6337,510,3332
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main,21,2246,926,671,157,230,0,1090,4420,315,2058
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java,21,2246,926,671,157,230,0,1090,4420,315,2058
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io,21,2246,926,671,157,230,0,1090,4420,315,2058
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata,21,2246,926,671,157,230,0,1090,4420,315,2058
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common,21,2246,926,671,157,230,0,1090,4420,315,2058
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\exception,6,561,155,96,10,60,0,346,1319,90,588
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\executor,2,69,8,6,0,10,0,51,243,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\loader,3,451,233,163,36,43,0,175,784,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\thread,2,129,56,42,7,14,0,59,292,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\main\java\io\seata\common\util,6,842,428,327,98,75,0,339,1378,90,588
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test,13,1032,453,295,5,126,0,453,1917,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java,13,1032,453,295,5,126,0,453,1917,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io,13,1032,453,295,5,126,0,453,1917,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata,13,1032,453,295,5,126,0,453,1917,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common,13,1032,453,295,5,126,0,453,1917,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\exception,2,263,125,80,0,32,0,106,357,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\loader,5,233,73,43,3,29,0,131,637,75,490
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\thread,2,142,76,56,0,15,0,51,258,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\common\src\test\java\io\seata\common\util,3,323,151,97,2,40,0,132,526,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config,15,1693,850,596,105,198,0,645,2632,225,1470
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main\java,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main\java\io,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main\java\io\seata,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main\java\io\seata\config,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-apollo\src\main\java\io\seata\config\apollo,2,206,138,92,15,23,0,45,230,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core,9,1091,442,313,61,132,0,517,1955,135,882
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src,9,1091,442,313,61,132,0,517,1955,135,882
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main,9,1091,442,313,61,132,0,517,1955,135,882
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java,9,1091,442,313,61,132,0,517,1955,135,882
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io,9,1091,442,313,61,132,0,517,1955,135,882
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata,9,1091,442,313,61,132,0,517,1955,135,882
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-core\src\main\java\io\seata\config,9,1091,442,313,61,132,0,517,1955,135,882
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java\io,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java\io\seata,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java\io\seata\config,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java\io\seata\config\nacos,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata\config,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata\config\zk,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core,126,14336,6990,5100,833,1715,2,5631,22888,1877,12252
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src,126,14336,6990,5100,833,1715,2,5631,22888,1877,12252
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
